quartal,emp_x1000
1990Q1,2493.8
1990Q2,2474.2
1990Q3,2461.7
1990Q4,2443.9
1991Q1,2409.1
1991Q2,2355.1
1991Q3,2312.0
1991Q4,2250.6
1992Q1,2227.9
1992Q2,2194.5
1992Q3,2154.2
1992Q4,2127.8
1993Q1,2084.9
1993Q2,2053.8
1993Q3,2042.2
1993Q4,2023.5
1994Q1,2005.5
1994Q2,2002.7
1994Q3,2028.5
1994Q4,2033.3
1995Q1,2053.6
1995Q2,2054.2
1995Q3,2066.7
1995Q4,2060.3
1996Q1,2067.1
1996Q2,2083.6
1996Q3,2103.3
1996Q4,2120.0
1997Q1,2135.1
1997Q2,2170.6
1997Q3,2162.1
1997Q4,2190.6
1998Q1,2208.7
1998Q2,2199.1
1998Q3,2212.4
1998Q4,2211.0
1999Q1,2241.5
1999Q2,2255.0
1999Q3,2250.4
1999Q4,2266.3
2000Q1,2278.7
2000Q2,2286.9
2000Q3,2315.4
2000Q4,2318.2
2001Q1,2325.9
2001Q2,2326.9
2001Q3,2340.1
2001Q4,2349.1
2002Q1,2351.8
2002Q2,2362.6
2002Q3,2375.1
2002Q4,2368.1
2003Q1,2366.9
2003Q2,2380.4
2003Q3,2386.2
2003Q4,2346.5
2004Q1,2369.0
2004Q2,2380.8
2004Q3,2385.7
2004Q4,2394.5
2005Q1,2402.8
2005Q2,2407.8
2005Q3,2421.4
2005Q4,2443.6
2006Q1,2454.3
2006Q2,2450.0
2006Q3,2481.7
2006Q4,2471.6
2007Q1,2487.1
2007Q2,2509.7
2007Q3,2528.5
2007Q4,2550.3
2008Q1,2562.4
2008Q2,2582.8
2008Q3,2573.6
2008Q4,2581.6
2009Q1,2552.3
2009Q2,2516.4
2009Q3,2489.7
2009Q4,2480.8
2010Q1,2484.7
2010Q2,2491.2
2010Q3,2499.1
2010Q4,2503.8
2011Q1,2513.9
2011Q2,2528.9
2011Q3,2537.8
2011Q4,2557.4
2012Q1,2555.5
2012Q2,2550.4
2012Q3,2559.5
2012Q4,2559.0
2013Q1,2548.2
2013Q2,2543.3
2013Q3,2524.7
2013Q4,2530.6
2014Q1,2526.4
2014Q2,2532.9
2014Q3,2522.1
2014Q4,2521.4
2015Q1,2522.1
2015Q2,2524.4
2015Q3,2527.4
2015Q4,2521.3
2016Q1,2529.9
2016Q2,2534.3
2016Q3,2541.5
2016Q4,2535.1
2017Q1,2546.5
2017Q2,2557.6
2017Q3,2563.2
2017Q4,2579.9
2018Q1,2599.4
2018Q2,2622.5
2018Q3,2630.9
2018Q4,2651.6
2019Q1,2659.1
2019Q2,2682.1
2019Q3,2674.7
2019Q4,2676.5
2020Q1,2664.2
2020Q2,2576.1
2020Q3,2606.5
2020Q4,2624.0